ReportYear,FiceCode,Institution,CohortYear4yr,CohortCount4yr,GradRate4yr,CohortYear5yr,CohortCount5yr,GradRate5yr,CohortYear6yr,CohortCount6yr,GradRate6yr
2019,003541,Angelo State University,2015,1336,0.3,2014,1285,0.5,2013,1204,0.5
2019,003581,Lamar University,2015,1505,0.2,2014,1411,0.3,2013,1457,0.4
2019,003592,Midwestern State University,2015,818,0.3,2014,834,0.4,2013,835,0.5
2019,003630,Prairie View A&M University,2015,1614,0.2,2014,1602,0.3,2013,1463,0.4
2019,003606,Sam Houston State University,2015,2514,0.4,2014,2449,0.6,2013,2375,0.6
2019,003624,Stephen F. Austin State University,2015,2243,0.4,2014,2164,0.6,2013,2209,0.6
2019,003625,Sul Ross State University,2015,313,0.2,2014,328,0.3,2013,301,0.3
2019,003631,Tarleton State University,2015,1831,0.3,2014,2013,0.5,2013,1699,0.6
2019,009651,Texas A&M International University,2015,963,0.3,2014,970,0.5,2013,936,0.6
2019,003632,Texas A&M University,2015,8493,0.6,2014,8989,0.8,2013,8495,0.9
2019,010298,Texas A&M University at Galveston,2015,535,0.5,2014,499,0.7,2013,523,0.7
2019,003565,Texas A&M University-Commerce,2015,1006,0.3,2014,991,0.5,2013,928,0.5
2019,011161,Texas A&M University-Corpus Christi,2015,2231,0.2,2014,2511,0.4,2013,2193,0.5
2019,003639,Texas A&M University-Kingsville,2015,1263,0.3,2014,1088,0.4,2013,1216,0.5
2019,042485,Texas A&M University-San Antonio,2015,,,2014,,,2013,,
2019,029269,Texas A&M University-Texarkana,2015,135,0.2,2014,165,0.4,2013,151,0.4
2019,003642,Texas Southern University,2015,1417,0.1,2014,1446,0.2,2013,1087,0.3
2019,003615,Texas State University,2015,5536,0.4,2014,5234,0.6,2013,5312,0.6
2019,003644,Texas Tech University,2015,5084,0.4,2014,5518,0.7,2013,4722,0.7
2019,003646,Texas Woman's University,2015,1163,0.3,2014,1152,0.5,2013,1079,0.5
2019,003656,The University of Texas at Arlington,2015,2712,0.3,2014,2684,0.6,2013,2624,0.6
2019,003658,The University of Texas at Austin,2015,7562,0.7,2014,7031,0.9,2013,7105,0.9
2019,030646,The University of Texas at Brownsville,2015,,,2014,833,0.4,2013,820,0.5
2019,009741,The University of Texas at Dallas,2015,2656,0.5,2014,2480,0.7,2013,2193,0.7
2019,003661,The University of Texas at El Paso,2015,2950,0.2,2014,2908,0.4,2013,2961,0.4
2019,010115,The University of Texas at San Antonio,2015,4898,0.4,2014,4948,0.5,2013,3559,0.6
2019,011163,The University of Texas at Tyler,2015,767,0.3,2014,678,0.5,2013,701,0.6
2019,103599,The University of Texas-Pan American,2015,,,2014,3155,0.4,2013,3269,0.5
2019,009930,The University of Texas-Permian Basin,2015,478,0.3,2014,410,0.4,2013,314,0.5
2019,003599,The University of Texas-Rio Grande Valley,2015,3774,0.3,2014,,,2013,,
2019,003652,University of Houston,2015,4010,0.4,2014,3909,0.6,2013,3332,0.7
2019,011711,University of Houston-Clear Lake,2015,228,0.4,2014,202,0.6,2013,,
2019,012826,University of Houston-Downtown,2015,790,0.1,2014,914,0.3,2013,1007,0.4
